multiply 75057.55 69494.79| Result = 5216108675.164499
plus 68882.27 -91925.81| Result = 350188751384.052002
plus 92699.85 -49089.82| Result = 319606022855.304993
multiply -47268.33 91933.45| Result = 324905111984.644653
plus 4685.49 23351.81| Result = 309888918710.553772
divide 42430.65 65216.37| Result = 314120801473.878540
minus -9232.45 413.07| Result = 277026364380.081909
minus -68008.54 -34371.91| Result = 268824203412.935516
multiply 25409.84 -19006.78| Result = 349705792145.336792
minus 176.23 99718.68| Result = 319605923312.854980
sq_add -62292.28 57627.6| Result = 324926871224.147034
multiply -63228.56 -43104.28| Result = 312614340264.790588
multiply 22695.98 -7252.05| Result = 313956209092.119568
add_sq 45432.34 37170.89| Result = 280472136961.349609
multiply 45701.55 -3502.13| Result = 268664150643.634003
divide -35275.19 -60946.07| Result = 349705792145.915588
multiply -68988.58 95941.08| Result = 318308032351.280640
sq_add 25008.37 -71565.78| Result = 321773515738.763062
sq_add 27638.87 -47843.59| Result = 314364439802.397949
divide 61824.05 62807.06| Result = 312614340265.774963
divide -77816.2 15230.41| Result = 280472136956.240356
plus 17141.08 -39034.44| Result = 268664128750.274017
add_sq -14060.73 -95563.99| Result = 359035972458.768616
sq_add -15032.86 51954.71| Result = 319671255358.703125
add_sq -96991.02 -77423.77| Result = 329766137924.051270
add_sq -45403.17 -18677.27| Result = 395302832118.686218
plus -85595.09 -73581.04| Result = 321773356562.633057
minus -75398.14 35254.28| Result = 280472026303.820374
multiply 6411.24 -61024.07| Result = 358644732500.221802
plus 98795.24 -45208.94| Result = 268664182336.574005
sq_add 88867.65 82353.09| Result = 348987797164.850708
add_sq -96313.56 71530.4| Result = 344159037888.084839
add_sq -84853.56 80130.22| Result = 408923810920.608215
multiply 35193.26 34679.35| Result = 322993835943.814087
sq_add 69391.7 -45444.83| Result = 344732490470.881714
add_sq -37678.47 35474.05| Result = 351665872489.794128
plus -58888.24 -43715.24| Result = 268664079733.093994
divide -88262.8 14150.24| Result = 312614340259.537415
divide 90498.46 22382.68| Result = 322993835947.857300
multiply 96731.18 25127.85| Result = 411354457501.971191
sq_add -68604.0 -66170.43| Result = 362896637452.706604
add_sq -40332.28 51518.96| Result = 355946768539.274109
divide 58700.31 15126.76| Result = 268664079736.974548
divide -50402.96 7655.96| Result = 312614340252.953918
add_sq 29897.59 -3124.65| Result = 323897465273.287903
minus 93640.78 -28349.52| Result = 411354579492.271179
multiply 23632.48 -18336.63| Result = 362463297410.964233
plus -39555.81 37293.69| Result = 268664077474.854553
plus -90518.18 75695.51| Result = 355946753716.604126
divide 3544.44 50482.66| Result = 312614340253.024109
add_sq 37092.31 -92087.08| Result = 421210449256.333679
plus 88675.57 -35038.94| Result = 323897518909.917908
minus -81555.54 608.29| Result = 358644650336.391785
sq_add 37377.48 19176.19| Result = 283670343894.289246
sq_add 42710.43 83772.42| Result = 378461208755.086731
minus -38212.95 -95184.87| Result = 312614397224.944092
plus 56079.34 -36673.99| Result = 355946773121.954102
add_sq 77505.81 60928.0| Result = 278383449242.610657
minus -10474.99 -64230.34| Result = 323897572665.267883
minus -71999.68 -13262.14| Result = 358644591598.851807
multiply 45195.23 -43790.25| Result = 419231338835.826172
divide -39203.52 71763.3| Result = 283670343893.742981
plus 93441.79 -24711.04| Result = 312614465955.694092
minus -19213.66 32103.23| Result = 355946721805.064087
add_sq 81228.86 29325.49| Result = 285841561303.250366
minus 99704.3 -14876.86| Result = 323897687246.427856
minus -84463.65 5328.1| Result = 358644501807.101807
multiply 28831.14 73049.68| Result = 380567314306.121948
multiply -85801.47 -30863.96| Result = 286318517031.764160
minus -33333.58 -8263.74| Result = 312614440885.854065
plus -87091.19 79200.47| Result = 355946713914.344116
divide -27751.56 -3084.22| Result = 419231338844.824097
plus 38724.5 -19576.69| Result = 323897706394.237854
divide -16473.44 -5179.39| Result = 358644501810.282410
minus 41644.27 -35957.4| Result = 380567391907.791931
multiply -33342.9 -67903.98| Result = 288582632646.506165
sq_add 49499.24 72572.34| Result = 327515911529.550476
sq_add 64577.46 44737.05| Result = 431181000941.364197
minus -43506.83 -10296.67| Result = 355946680704.184143
multiply -88408.19 28431.77| Result = 321384105070.041565
add_sq 32794.72 1882.8| Result = 286920599898.968750
divide -92358.04 -47570.5| Result = 380567391909.733459
add_sq -63455.73 37912.71| Result = 294046635895.883179
sq_add 24552.9 -98020.43| Result = 332913389493.851379
add_sq 60892.9 17627.7| Result = 435199682019.064209
minus 83206.92 -42724.79| Result = 355946806635.894165
divide -39586.96 68211.6| Result = 286920599898.388367
sq_add -1259.28 -40566.87| Result = 323133531893.864075
multiply -90801.05 -4423.91| Result = 359046197483.387939
multiply -6747.89 -35354.55| Result = 333151958108.250854
divide 46125.6 -13800.45| Result = 294046635892.540833
divide 72776.18 -16047.39| Result = 435199682014.529114
plus 1817.53 -59575.87| Result = 355946748877.554138
multiply 96461.07 -21196.53| Result = 321088891929.776978
plus -77527.71 54380.77| Result = 359046174336.447937
multiply -96960.57 -81118.06| Result = 301911889227.435059
minus -53202.42 47527.83| Result = 380567291179.483459
add_sq 65844.18 -64543.25| Result = 443700969174.963989
add_sq 96922.51 -36368.93| Result = 343868630122.295837
minus -83821.73 36593.2| Result = 359046053921.517944
plus 50908.06 -25214.07| Result = 301911914921.425049
multiply 41673.85 63425.53| Result = 323732077953.167480
sq_add -54878.48 35399.83| Result = 356326166683.376648
minus -85433.85 -14759.39| Result = 443700898500.503967
add_sq 56754.61 29386.01| Result = 347953253462.268066
plus -55707.52 82451.86| Result = 286920626642.728394
sq_add 71931.21 55803.35| Result = 375362171739.911560
add_sq 65011.79 74879.59| Result = 311745400758.997253
multiply 2894.24 -36934.1| Result = 323625181803.583496
sq_add 20946.3 81945.33| Result = 366912854207.433533
plus -5257.22 74386.16| Result = 380567360308.423462
plus -88111.42 -32276.37| Result = 347953133074.478088
plus -30955.45 56531.12| Result = 286920652218.398376
multiply -57668.88 -47489.69| Result = 378100848973.758789
plus 43350.58 -78183.86| Result = 311745365925.717224
divide -52785.46 -85410.71| Result = 323625181804.201538
add_sq -47211.23 25791.59| Result = 369806960560.274536
plus 26864.24 178.6| Result = 443700925543.343994
add_sq -16091.81 27514.75| Result = 381583368125.062073
plus -44024.87 28221.47| Result = 347953117271.078064
sq_add 3731.46 54175.79| Result = 381454098576.321289
divide 86179.4 -9807.83| Result = 311745365916.930420
multiply -4270.24 20748.28| Result = 323536581669.014343
divide 58347.07 3709.45| Result = 369806960576.003845
sq_add -48384.69 42348.19| Result = 443737364875.593994
plus 34798.16 -67154.61| Result = 381583335768.612061
minus 10279.16 -64301.87| Result = 347953191852.108093
sq_add -52872.2 54703.86| Result = 381457453554.676880
plus -92124.31 -84242.56| Result = 311745189550.060425
plus -90568.53 -63202.88| Result = 369806806804.593872
sq_add -5473.4 -23977.91| Result = 324403961329.730469
sq_add 63707.67 21643.63| Result = 355238036263.798096
divide 68034.22 16717.17| Result = 286920652222.468079
add_sq 92194.46 -60172.04| Result = 393703828621.065247
minus 12464.94 83533.63| Result = 381457382485.986877
sq_add 95914.33 -99873.78| Result = 311760866794.362915
multiply -32356.02 78009.64| Result = 367282725332.561096
add_sq 65916.02 -78587.18| Result = 365758902816.790894
multiply 79833.35 -42359.33| Result = 283538965004.812561
add_sq 4722.37 83830.07| Result = 331453742744.352295
add_sq -73024.93 8253.15| Result = 399104583507.492676
multiply 14583.01 -80805.95| Result = 310582472817.453430
add_sq -68299.67 76151.17| Result = 391921228100.464661
add_sq 503.14 -83578.84| Result = 374268400978.166321
multiply 9653.7 -59881.09| Result = 282960890926.279541
plus -20744.33 78213.47| Result = 331453800213.492310
divide -24978.35 74256.13| Result = 365758902816.454529
minus 36808.61 79673.7| Result = 310582429952.363403
sq_add -47374.35 -32417.61| Result = 450104121756.235596
multiply 81399.74 6008.15| Result = 399593645355.373657
minus -10649.43 54829.58| Result = 391921162621.454651
divide 84236.86 79917.82| Result = 374268400979.220337
divide -46175.07 14641.75| Result = 282960890923.125854
minus -49922.91 58843.47| Result = 365758794050.074524
sq_add 78713.48 27951.99| Result = 321959952442.684326
sq_add -30803.42 47613.54| Result = 450386701890.650024
sq_add -30260.99 -70383.75| Result = 402050526311.122253
sq_add -54631.49 83803.46| Result = 332304804047.173218
multiply -92516.4 -97553.06| Result = 383293658899.404358
multiply 37949.04 -55035.88| Result = 280872332111.570679
multiply 87248.67 -3860.78| Result = 365421946129.911926
plus -2108.08 -52176.74| Result = 321959898157.864319
multiply 8423.65 87254.6| Result = 451121704101.940002
divide -42358.56 -39784.17| Result = 332304804048.237915
minus -28431.86 89244.8| Result = 383293541222.744385
sq_add -90202.33 -79195.75| Result = 430746235818.808655
sq_add -4729.79 44172.7| Result = 282428075260.838806
divide -7294.52 -32583.9| Result = 365421946130.135803
add_sq -70657.92 28836.88| Result = 327784005464.725098
add_sq 82779.39 -9224.13| Result = 458059216084.968994
minus -89048.93 -3074.47| Result = 399593559380.913635
divide 30516.6 -16215.46| Result = 332304804046.355957
divide -44845.59 -4659.89| Result = 430746235828.432373
sq_add -66221.64 67667.75| Result = 383295632456.876465
minus -53564.16 86650.45| Result = 365421805915.525818
multiply 35794.45 -95099.76| Result = 324379961860.393127
sq_add -51406.44 72733.64| Result = 458514065544.809021
multiply 35974.3 4951.15| Result = 399771673536.358643
minus 94478.24 -95935.8| Result = 332304994460.395935
plus 98557.84 -97465.93| Result = 430746236920.342346
add_sq 46813.23 1488.36| Result = 284621768979.361328
minus -17573.68 -46709.38| Result = 324379990996.093140
add_sq -62517.68 -93865.96| Result = 378141084674.829834
plus 41017.44 -43395.96| Result = 458514063166.289001
sq_add -78179.7 2717.68| Result = 405466189998.839050
divide 10047.37 50354.19| Result = 332304994460.595459
plus -80771.5 62876.01| Result = 383295614561.386475
sq_add 19621.28 -37339.07| Result = 284935689061.845398
minus 42113.98 54384.22| Result = 324379978725.853149
sq_add 4356.84 -8889.6| Result = 378161630588.047424
add_sq 21969.25 -86645.89| Result = 466504221365.743591
add_sq -66662.32 36528.97| Result = 411244420555.882324
divide -16284.98 39280.74| Result = 332304994460.180908
multiply 40943.37 -38920.84| Result = 381702064208.555664
multiply 3159.3 44330.66| Result = 430886290774.480347
multiply 33199.29 -55393.4| Result = 283096667511.159424
add_sq -93347.81 -11778.06| Result = 333232515055.012817
plus -50083.87 -83833.84| Result = 378161496670.337402
multiply 79355.64 -11912.53| Result = 465558894923.574402
minus 84.05 96663.65| Result = 411244323976.282349
plus -63545.64 -25489.62| Result = 332304905424.920898
sq_add -13542.22 -17890.3| Result = 431874294088.030762
add_sq 53995.17 -4319.17| Result = 286030801123.977234
divide -25689.02 -70427.87| Result = 333232515055.377563
divide 37315.79 42675.61| Result = 378161496671.211792
sq_add 85665.52 -81750.18| Result = 465574224810.890015
sq_add 15637.49 -52207.71| Result = 412581704967.130737
divide 63230.76 -39532.67| Result = 332304905423.321472
divide 55600.8 -99984.76| Result = 333232515054.821472
add_sq -99374.54 -84579.29| Result = 303059756621.092957
add_sq -49686.05 -47896.09| Result = 382924235673.102417
plus -97051.29 80558.2| Result = 465574208317.799988
divide -9308.84 67306.43| Result = 412581704966.992432
add_sq -12190.05 -74553.37| Result = 387408866505.915039
add_sq 74532.13 -79189.18| Result = 344130870054.730774
divide -21347.3 33870.74| Result = 333232515054.191223
sq_add 22300.17 -9798.19| Result = 303216056125.013367
plus -82318.12 -77424.88| Result = 382924075930.102417
divide -19515.8 42959.18| Result = 465574208317.345703
divide 64727.33 -83780.5| Result = 412581704966.219849
add_sq 14613.62 -7376.53| Result = 387676837590.260315
multiply 54281.97 12966.94| Result = 432578165136.102539
sq_add -97377.33 -21808.04| Result = 347437667476.228149
multiply 73657.48 76760.02| Result = 349784819692.680359
divide 87916.09 -23646.79| Result = 303216056121.295471
plus 57271.98 -35097.37| Result = 382924098104.712402
minus 33145.13 -61008.79| Result = 465574302471.265686
multiply -46899.29 8924.14| Result = 387258301760.399719
add_sq 22161.4 -84079.86| Result = 440138715643.682129
sq_add 9555.68 -87904.07| Result = 353576137691.820251
plus -57062.58 -21589.87| Result = 349784741040.230347
sq_add 57633.32 32277.5| Result = 311300011674.367859
add_sq 64751.37 65538.26| Result = 391412101545.416931
divide -74408.0 -41872.65| Result = 465574302473.042664
sq_add 74211.42 -97496.18| Result = 387800481808.657349
plus 23386.33 -55498.81| Result = 440138683531.202148
sq_add -76858.45 -43022.37| Result = 367947548695.692627
divide -94713.59 7364.45| Result = 349784741027.369446
add_sq 49963.31 -3685.42| Result = 313809926341.100342
sq_add 22906.8 40335.3| Result = 395411664757.826904
multiply 7752.43 78485.92| Result = 466182759073.828247
divide 86194.6 -80845.66| Result = 387800481807.591187
divide 62417.96 -31233.53| Result = 440138683529.203735
sq_add -77823.46 -30378.87| Result = 424289449183.648743
add_sq 41.22 -44748.41| Result = 351787162923.985962
minus 39403.88 -50965.89| Result = 313810016710.870361
add_sq 21868.51 82158.3| Result = 402639882746.336975
minus -37260.68 46079.35| Result = 466182675733.798218
plus -80115.81 51171.36| Result = 367947519751.242615
divide 52469.53 94971.32| Result = 387800481808.143677
divide -43267.09 -75237.37| Result = 440138683529.778809
add_sq 6526.14 19376.66| Result = 352205208380.041138
sq_add -52008.58 -57401.33| Result = 325780545117.078491
divide 24072.5 -10785.16| Result = 466182675731.566223
add_sq -15824.14 8391.56| Result = 402960704432.310181
minus -90591.57 -97463.41| Result = 387800488679.983704
multiply 13329.76 10190.79| Result = 368083360536.153015
multiply 19886.72 55129.06| Result = 441235019709.862000
minus 61866.14 -37680.11| Result = 352205307926.291138
multiply -92627.56 -10381.1| Result = 326742121080.194519
sq_add 98608.16 -31923.78| Result = 470629482267.550598
divide 47510.19 -51009.94| Result = 402960704431.378784
plus -56657.03 -48947.46| Result = 368083254931.663025
multiply -93850.85 -7572.59| Result = 388511182688.185181
sq_add 55596.43 -82406.62| Result = 441953805997.698120
plus 81444.0 -37960.82| Result = 352205351409.471130
multiply -71539.54 -66200.05| Result = 429025370308.625732
add_sq -8439.69 -58072.68| Result = 330185785609.873047
multiply -56524.19 99821.45| Result = 397318377825.503296
divide -63160.55 -7617.3| Result = 368083254939.954773
divide 36164.81 -54492.0| Result = 388511182687.521484
add_sq 63817.76 67726.72| Result = 450613421091.074097
sq_add -87688.0 90279.25| Result = 352212065986.033630
divide 5107.32 74854.26| Result = 429025370308.693970
plus -56192.48 24651.92| Result = 330185754069.313049
minus 54611.38 2942.95| Result = 397318429493.933289
add_sq -32847.44 28240.11| Result = 369959713067.320496
minus 52978.2 20253.13| Result = 388511215412.591492
divide 68166.26 84780.87| Result = 450613421091.878113
add_sq -74941.08 -77953.65| Result = 363905003005.922546
multiply 1103.15 -77675.94| Result = 428939682095.482971
sq_add 15702.89 -95322.09| Result = 476968699276.190613
plus 98529.49 70929.73| Result = 397318598953.153259
divide -40040.84 6888.89| Result = 369959713061.508118
divide -21105.36 -67132.78| Result = 450613421092.192505
minus 14744.19 32925.52| Result = 388511197231.261475
divide 45974.76 -86846.06| Result = 363905003005.393188
divide -34739.02 -43798.93| Result = 428939682096.276123
plus -29527.39 4207.69| Result = 476968673956.490601
plus -73976.19 7817.39| Result = 397318532794.353271
add_sq -6696.93 -52353.5| Result = 372745450895.183044
plus -39674.71 80999.98| Result = 450613462417.462524
multiply -77982.39 70240.65| Result = 358427469243.239685
add_sq 21872.21 8675.87| Result = 389064861521.802490
minus -53382.76 -27027.9| Result = 428939655741.416138
multiply 99350.52 -2568.36| Result = 476713506054.943420
sq_add 49539.13 -96847.78| Result = 399556641159.175781
sq_add 75303.67 18097.59| Result = 381469246264.770630
plus 7984.21 -68438.05| Result = 389064801067.962463
sq_add 83031.93 -11099.13| Result = 363601796959.079712
add_sq 19626.11 66707.83| Result = 481548624831.984436
plus 92445.97 -13154.15| Result = 428939735033.236145
add_sq -14274.43 60521.82| Result = 403423291207.113098
sq_add 81768.97 14990.75| Result = 339548197483.791443
plus 6443.81 18843.81| Result = 381469271552.390625
divide 26837.2 -30089.04| Result = 389064801067.070557
sq_add -22033.29 75550.55| Result = 484412721949.892029
sq_add -94312.49 -62320.13| Result = 388135574607.144104
divide -624.51 -92678.12| Result = 450613462417.469238
minus -45194.69 28239.69| Result = 428939661598.856140
plus 47451.75 16641.83| Result = 403423355300.693115
divide -85732.6 -8246.08| Result = 381469271562.787415
multiply 50230.46 -11727.69| Result = 388475713803.633179
divide 70096.02 22253.34| Result = 484412721953.041931
minus -4494.12 -30190.03| Result = 388135600303.054077
add_sq 65695.47 29447.81| Result = 455796530709.786255
sq_add -178.05 -99633.79| Result = 438902065003.041748
plus 92672.86 -92360.91| Result = 381469271874.737427
add_sq 44187.55 -10373.45| Result = 486472869992.946960
add_sq 99848.43 -21621.93| Result = 413860572131.082886
add_sq 78883.72 -31299.56| Result = 446104368740.273743
multiply -90440.84 -49272.0| Result = 392591801371.534058
plus -47325.06 12268.38| Result = 455796495653.106262
sq_add 73806.82 -48977.49| Result = 389092209431.882080
minus 7960.88 66451.4| Result = 339548138993.271423
divide -54273.0 93492.48| Result = 381469271874.156921
plus 94260.46 -30727.91| Result = 486472933525.496948
sq_add -13409.42 12248.78| Result = 446105715825.483337
sq_add -1978.0 -67222.74| Result = 397380543788.081665
multiply -98027.13 -63436.82| Result = 395310738832.808655
multiply -33864.98 -91186.19| Result = 342636157493.897644
sq_add 3791.99 72156.72| Result = 387237478424.821045
multiply 14329.38 -21125.26| Result = 486170221647.358154
add_sq -94454.39 48059.5| Result = 425091919461.604980
multiply -26627.44 23433.92| Result = 445481730526.718567
sq_add -20380.78 37551.27| Result = 397675369514.921753
plus -80816.76 15544.15| Result = 395310673560.198669
minus 20258.78 -58210.48| Result = 455796574122.366272
plus 44532.18 80322.51| Result = 387237603279.511047
sq_add 64786.41 4172.5| Result = 490925552915.746277
minus -62678.05 29361.69| Result = 425091827421.864990
add_sq -45806.96 99010.78| Result = 457383142667.368591
divide -19214.72 53202.8| Result = 342636157493.536499
divide -18888.44 3599.66| Result = 397675369509.674438
divide -52640.43 -22162.72| Result = 455796574124.741455
divide -16343.17 46584.13| Result = 395310673559.847839
sq_add 29450.08 -31594.88| Result = 387242203446.551025
multiply 86034.97 -11640.0| Result = 456381695616.568604
multiply 99082.46 41928.45| Result = 346790531463.523499
minus -97676.44 21559.78| Result = 397675250273.454468
add_sq 72032.06 66157.0| Result = 500490919232.589905
add_sq -72436.17 -31830.68| Result = 401570864473.379150
plus -55987.73 15166.26| Result = 387242162625.081055
multiply -47780.38 66513.98| Result = 452618510885.029053
add_sq -63992.43 -97805.02| Result = 470042548651.073914
minus -27574.97 72644.81| Result = 346790431243.743469
sq_add 64120.39 -97876.12| Result = 398814699581.287354
divide -51328.03 88433.94| Result = 500490919232.009521
multiply -50195.34 46946.29| Result = 384885677636.792480
divide 6307.78 -21414.92| Result = 452618510884.734497
minus -73018.94 -56526.01| Result = 470042532158.143921
divide -22216.89 -80200.25| Result = 398814699581.564392
plus 32966.26 29326.25| Result = 500490981524.519531
multiply 1181.47 -5246.88| Result = 401564665442.065552
minus -18082.86 97313.48| Result = 452618395488.394470
divide 81203.61 -19030.25| Result = 346790431239.476379
plus 77571.35 64080.93| Result = 470042673810.423950
multiply 83753.68 94161.98| Result = 406701111922.650818
divide 57382.73 -71651.21| Result = 401564665441.264709
add_sq -11967.31 78284.03| Result = 431363433283.541992
add_sq 53979.22 64098.64| Result = 459640787330.052490
sq_add -48858.45 56067.69| Result = 346842404380.854004
sq_add -67952.56 -57724.54| Result = 485837407274.833923
multiply -11188.41 -80284.79| Result = 407599371069.934692
plus 91567.18 15777.72| Result = 401564772786.164734
sq_add -82717.73 21635.07| Result = 435094524636.217590
sq_add 76482.12 -62281.52| Result = 347044061421.213989
add_sq -14708.05 27881.71| Result = 486831123762.160522
plus 70315.54 90001.04| Result = 459640947646.632507
sq_add 97565.59 -44854.11| Result = 410377871193.725098
multiply -75364.03 -25030.66| Result = 403451184197.324524
minus -86614.58 -2967.79| Result = 384885593990.002502
plus -50636.54 72630.38| Result = 435094546630.057617
multiply 6843.57 -93623.56| Result = 346403342034.704773
minus -78433.69 -46965.43| Result = 486831092293.900513
minus -56158.09 -2192.69| Result = 459640893681.232483
add_sq 5578.58 95941.02| Result = 412686984070.781311
minus 22319.03 -87670.43| Result = 410377981183.185120
add_sq -30976.32 -75811.77| Result = 391592550861.277832
divide 23595.44 69058.06| Result = 435094546630.399292
add_sq -61968.47 -73306.93| Result = 355617339294.870544
multiply -64789.46 -41377.53| Result = 489511920118.734314
divide -74791.44 65567.18| Result = 459640893680.091797
divide 10975.16 72903.77| Result = 412686984070.931824
add_sq -69700.27 44315.89| Result = 417200006927.750122
sq_add -35896.52 -99165.95| Result = 409834421663.778748
divide -75413.88 24103.94| Result = 355617339291.741821
multiply -73468.75 16878.34| Result = 488271889576.859314
sq_add 99697.49 -27965.0| Result = 464786443801.691895
sq_add -96062.96 81910.5| Result = 412887276194.983398
add_sq 3414.31 39072.6| Result = 418738332511.286194
add_sq -83939.94 -88568.68| Result = 424724746267.924744
minus -12891.7 52365.13| Result = 355617274034.911804
add_sq -59005.41 88304.83| Result = 499551270987.456299
add_sq 24031.36 -17980.42| Result = 465687245568.517883
divide -23281.28 -6666.49| Result = 412887276198.475708
minus -96617.99 -43403.22| Result = 418738279296.516174
minus 27274.46 45158.78| Result = 424724728383.604736
minus -85242.71 71891.01| Result = 355617116901.191833
multiply -23291.22 84815.51| Result = 497575814284.634094
multiply -94261.81 9686.05| Result = 464774220963.767395
add_sq 13574.96 -63590.08| Result = 422966257109.924194
plus -19813.27 -68870.51| Result = 424724639699.824707
minus -90806.27 30567.01| Result = 435094425257.119263
plus 7716.32 -37928.84| Result = 355617086688.671814
divide -32861.05 -75975.05| Result = 497575814285.066589
minus 6726.31 54474.66| Result = 422966209361.574219
multiply 2078.51 80891.96| Result = 464942355711.546997
sq_add -13173.13 -94153.29| Result = 436243600129.841125
multiply -82221.07 -6130.2| Result = 435598456860.433289
minus -24875.73 96150.77| Result = 497575693258.566589
multiply -72933.71 -29203.34| Result = 357746994619.263184
plus 94925.58 -98394.94| Result = 422966205892.214233
plus -63419.08 34762.45| Result = 464942327054.916992
multiply 79804.64 79893.77| Result = 419263169751.568481
plus 9636.76 -38426.85| Result = 436243571339.751099
divide 47091.28 -6878.38| Result = 435598456853.587036
divide -3898.66 3769.54| Result = 497575693257.532349
sq_add -53292.7 -31599.92| Result = 364953751549.727600
divide -45432.98 23836.85| Result = 422966205890.308228
minus 65239.73 91462.83| Result = 500490955301.419556
multiply 75739.11 -24260.24| Result = 463104878068.930603
minus -23324.87 -56807.6| Result = 419263203234.298462
divide -73906.05 46521.87| Result = 436243571338.162476
minus 88361.87 29208.16| Result = 435598516007.297058
plus -86206.33 41527.3| Result = 497575648578.502319
plus 69875.09 79206.98| Result = 364953900631.797607
divide -83198.66 -32399.47| Result = 422966205892.876160
plus -9742.3 71355.08| Result = 500491016914.199585
divide 1020.14 23387.53| Result = 463104878068.974243
sq_add 34953.01 85339.23| Result = 433733426238.516052
add_sq 53754.7 20877.09| Result = 439568991997.120605
plus -38160.62 98269.97| Result = 435598576116.647034
multiply 5479.55 93530.63| Result = 498088154342.118835
minus -57836.36 -99839.04| Result = 364953942634.477600
plus -69860.13 45751.78| Result = 422966181784.526184
plus -81886.73 -48651.9| Result = 500490886375.569580
minus -69914.15 52094.17| Result = 463104756060.654236
add_sq 29256.19 3376.87| Result = 434600754142.829041
minus -86707.19 -24836.9| Result = 439568930126.830627
multiply -85409.55 -18411.14| Result = 499660641524.505859
sq_add 22870.96 95986.97| Result = 379081150158.362488
add_sq -18942.14 -35977.62| Result = 437251769925.291016
plus 39134.98 63690.06| Result = 422966284609.566162
add_sq 56849.9 87181.86| Result = 511323474218.639160
divide 18660.85 76302.23| Result = 463104756060.898804
minus -58101.01 80308.91| Result = 434600615732.909058
minus 95258.89 11292.71| Result = 439569014093.010620
sq_add -30238.05 82583.42| Result = 502400679284.942749
multiply 20042.76 -80384.95| Result = 377470013897.900513
divide 70115.81 -92165.62| Result = 422966284608.805420
plus -64075.86 21431.94| Result = 437251727281.371033
plus 79403.71 32190.67| Result = 511323585813.019165
plus -12470.26 -47808.31| Result = 463104695782.328796
plus -94004.16 -31447.95| Result = 434600490280.799072
add_sq -24088.14 11543.97| Result = 440282515825.031128
add_sq -28319.97 -15852.37| Result = 503453997620.360535
divide -60939.79 -20414.99| Result = 377470013900.885559
minus -80856.14 -79292.08| Result = 422966283044.745422
sq_add -5119.72 44843.22| Result = 438829683733.621033
sq_add -69456.64 -398.29| Result = 516203297058.324036
sq_add 59854.91 -32990.53| Result = 463826390695.113220
minus -97006.66 4353.36| Result = 434600388920.779053
plus -66893.65 -82012.79| Result = 440282366918.591125
divide -81634.32 48466.57| Result = 503453997618.676208
add_sq 83755.69 25996.42| Result = 385160843361.078064
add_sq 28299.46 74680.03| Result = 429344249361.837952
add_sq 82046.2 27234.13| Result = 523676573829.620911
add_sq -72460.78 -10799.88| Result = 444196885779.843811
add_sq 19516.05 -96083.9| Result = 473439382741.925720
plus 72799.92 -17970.15| Result = 503454052448.446228
plus -63862.67 -88113.96| Result = 440282214941.961121
divide -74569.15 11203.82| Result = 434600388914.123352
multiply -70492.09 23001.42| Result = 383539425192.310242
sq_add -28084.34 3053.79| Result = 429970777795.140442
minus 92947.91 -71328.42| Result = 444197050056.173828
sq_add -92115.9 -66228.94| Result = 548749662184.246521
plus 54246.6 73751.23| Result = 473439510739.755737
sq_add 4269.48 39647.36| Result = 505382741284.031799
sq_add -1233.26 96212.56| Result = 449303282370.451111
minus -16856.74 -39563.04| Result = 434600411620.423340
minus -68914.74 -37108.86| Result = 383539393386.430237
add_sq -33965.63 59281.3| Result = 434638714346.127319
sq_add 10894.77 16041.93| Result = 444922635863.063843
multiply 50128.86 -39099.45| Result = 546789651329.119507
add_sq 45754.96 -26581.78| Result = 476239618132.325745
minus -95381.43 45222.31| Result = 505382600680.291809
sq_add -18682.97 -74545.33| Result = 457994798291.341125
divide -82044.69 -86317.84| Result = 434600411621.373840
multiply -57474.38 -22112.4| Result = 384810289866.742249
add_sq -10182.63 -8776.64| Result = 434819429709.533813
minus -58475.98 54801.71| Result = 444922522585.373840
sq_add -97745.78 66642.11| Result = 547757089616.588379
plus -71447.61 -28420.58| Result = 476239518264.135742
divide -78149.75 97832.8| Result = 505382600679.492981
sq_add 56604.46 92644.07| Result = 480269921998.502014
multiply 57403.44 -4786.03| Result = 434325677035.430664
sq_add 12510.06 -39746.3| Result = 385552102636.079834
minus -87904.16 24744.97| Result = 444922409936.243835
minus 25869.77 97192.34| Result = 547757018294.018372
multiply 53203.36 30935.26| Result = 436465289484.007385
plus 34694.1 20915.22| Result = 476239573873.455750
minus -52306.05 -13689.39| Result = 480269883381.842041
divide -53527.91 75709.68| Result = 434325677034.723633
sq_add -41141.33 -77291.79| Result = 399578506549.014221
divide 11762.76 90470.06| Result = 444922409936.373840
add_sq -22018.65 79834.01| Result = 554615308394.520996
plus -96316.66 -41761.61| Result = 505382462601.222961
plus -57106.56 -34862.26| Result = 436465197515.187378
add_sq -54944.98 -36948.93| Result = 480623748128.801025
plus -92491.28 -85480.95| Result = 480269705409.612061
sq_add 15554.7 -65923.9| Result = 436862733343.363647
sq_add -92614.77 -84487.35| Result = 476287570844.868225
plus -6131.01 -9575.14| Result = 554615292688.370972
add_sq 77912.86 -67861.26| Result = 516058026963.390137
plus 22369.32 -89260.33| Result = 436465130624.177368
minus 77244.45 41109.76| Result = 480623784263.491028
divide -43099.95 -88591.09| Result = 399578506549.500732
divide -18073.25 77389.5| Result = 480269705409.378540
sq_add 17676.73 29213.18| Result = 439061397003.171753
add_sq -66974.63 -56080.0| Result = 483918138308.505127
